Sample,0_Mean_Ang,0_Variance_Ang,0_Skewness_Ang,0_Kurtosis_Ang,0_Standard_dev_Ang,0_Max_Ang,Dyn_Range_Ang,0_Mean_bra,0_Variance_bra,0_Skewness_bra,0_Kurtosis_bra,0_Standard_bra,0_Max_bra,Dyn_Range_bra,0_Mean_thr,0_Variance_thr,0_Skewness_thr,0_Kurtosis_thr,0_Standard_dev_thr,0_Max_thr,Dyn_Range_thr,DRIVER
219,-4.404644768,2.868139632,1.697515587,2.714005283,1.693558275,0.799935291,7.43849716,0,0,0,-3,0,0,0,0.450286491,3.22E-06,1.5804195,0.497725796,0.001794558,0.453991789,0.004574442,2
220,-7.299817756,6.669062336,0.668357678,-0.846797165,2.582452775,-2.520367245,7.521545365,0,0,0,-3,0,0,0,0.449417347,1.23E-32,0,-3,1.11E-16,0.449417347,0,2
221,-5.754845798,2.038163681,0.520423767,-1.221046011,1.427642701,-2.939156232,4.213012822,0,0,0,-3,0,0,0,0.449417347,1.23E-32,0,-3,1.11E-16,0.449417347,0,2
222,-0.889597267,7.573853327,0.296706268,-1.694542853,2.752063467,3.013072404,6.574485062,0,0,0,-3,0,0,0,0.443566583,1.91E-05,-0.506266273,-0.615870785,0.00437425,0.449417347,0.013854516,2
223,-0.404955553,2.12565573,-0.009750507,-1.532932752,1.45796287,2.15709203,4.384986269,0,0,0,-3,0,0,0,0.444821179,0,0,-3,0,0.444821179,0,2
224,0.085104725,2.231028068,0.107599657,-1.550562212,1.493662635,2.206345463,3.987918942,0,0,0,-3,0,0,0,0.444821179,0,0,-3,0,0.444821179,0,2
225,0.129956718,0.089882775,-0.1665101,-1.221980479,0.299804561,0.58456118,0.904528471,0,0,0,-3,0,0,0,0.444821179,0,0,-3,0,0.444821179,0,2
226,-0.112431244,0.199102666,-2.752476793,7.071605225,0.446209218,0.113834113,2.193970135,0,0,0,-3,0,0,0,0.446797531,5.18E-06,0.282785007,-1.92003264,0.002275451,0.449417347,0.004596168,2
227,-4.37632142,0.500174722,1.848373982,2.049952982,0.707230318,-2.14785715,2.609750434,0,0,0,-3,0,0,0,0.449279243,1.04E-06,-7.86878616,63.2387367,0.001020393,0.449417347,0.00921427,2
228,-3.546149417,0.047378466,0.867947132,1.13488207,0.21766595,-3.040791973,1.115458446,0,0,0,-3,0,0,0,0.339203182,0.013725249,-1.066496579,-0.174882558,0.117154806,0.435562831,0.425488079,2
229,-5.46557857,1.502987497,0.225401976,-1.488713394,1.225963905,-3.740138434,3.226339597,0,0,0,-3,0,0,0,0.309153072,2.80E-05,-1.302226433,3.175374727,0.005291019,0.316928052,0.032094825,2
230,-5.616616919,2.207164786,0.767292689,-1.0177015,1.485652983,-2.877562344,4.088915687,0,0,0,-3,0,0,0,0.311655679,1.23E-32,0,-3,1.11E-16,0.311655679,0,2
231,-2.651707586,0.274991492,1.074849063,0.317604752,0.524396312,-1.467661765,2.435819853,0,0,0,-3,0,0,0,0.347448819,0.001112597,0.043379934,-1.813722743,0.033355614,0.387875135,0.076219456,2
232,-20.94024668,47.53123994,1.349703481,0.231498396,6.894290387,-4.378245667,21.00936728,0,0,0,-3,0,0,0,0.370949967,3.52E-05,0.362570827,0.10797131,0.005929358,0.387875135,0.024745414,2
233,-13.42724741,116.4247021,0.462578634,-1.402552344,10.7900279,3.989786059,29.37739901,0,0,0,-3,0,0,0,0.465620319,0.001568837,-0.478404739,-1.53037509,0.039608545,0.507278702,0.119403567,2
234,-0.982561126,4.974595356,1.083585079,-0.449307518,2.230380092,3.903481618,6.547010396,0,0,0,-3,0,0,0,0.507278702,1.23E-32,0,-3,1.11E-16,0.507278702,0,2
235,0.390735579,3.796717002,-0.58283474,-1.302093953,1.948516616,2.997672882,5.576540694,0,0,0,-3,0,0,0,0.517598386,6.56E-05,-0.423284169,-1.764286032,0.008101904,0.524402881,0.017124179,2
236,14.253574,148.6267552,0.579760669,-0.996472428,12.19125733,37.55865135,36.54333311,0,0,0,-3,0,0,0,0.300084097,0.014490965,1.052701557,-0.737777562,0.120378424,0.524402881,0.307095883,2
237,13.56470214,282.8633801,0.337357722,-1.615773198,16.81854275,37.63772772,41.66450355,0,0,0,-3,0,0,0,0.322132695,0.014564601,1.207756538,-0.18617739,0.120683887,0.582073587,0.358955908,2
238,0.67783586,2.365991809,-0.980046529,-0.643260997,1.538178081,1.849285154,4.298838665,0,0,0,-3,0,0,0,0.624865053,0.000240113,-0.410250327,0.973262686,0.015495576,0.65104195,0.068968363,2
239,1.629398754,1.126522772,-0.382024225,-1.491734144,1.061377771,2.926837244,2.880688299,0.063526819,0.016377158,1.735268435,1.332608482,0.12797327,0.397617411,0.397617411,0.418504911,0.072339498,-0.7491093,-1.300626131,0.268960031,0.621263558,0.621263558,2
240,0.97685728,0.010125933,-3.452247672,11.4390384,0.100627694,1.015318236,0.544594898,0.083539844,0.00327184,-0.471352955,-1.39178739,0.0572,0.150950926,0.150950926,0.048154487,0.008457746,1.671805976,1.350728946,0.091966005,0.322171856,0.322171856,2
241,1.142623806,0.061040309,1.383849273,0.086508595,0.24706337,1.649233479,0.649300083,0,0,0,-3,0,0,0,0.303876132,0.000993207,-1.600000837,1.428339232,0.031515193,0.332574981,0.115267983,2
242,1.292729705,0.306787475,-0.636145542,-1.178936207,0.55388399,1.796962323,1.507761333,0,0,0,-3,0,0,0,0.175045269,0.016859878,0.175150245,-1.841719742,0.129845592,0.327387398,0.32455965,2
243,-1.085666954,1.526962664,0.055977438,-1.883897321,1.235703307,0.28920099,2.674101037,0.066915195,0.006040092,0.452790966,-1.586048018,0.077718032,0.187718422,0.187718422,0.123403453,0.01449149,0.109749773,-1.727691424,0.120380607,0.295663987,0.295663987,2
244,-2.157431633,0.003829677,-0.733261231,-1.13932522,0.06188438,-2.107839841,0.156995732,0.039081377,0.002698531,0.768119629,-1.163655466,0.051947387,0.138386077,0.138386077,0.23903654,0.05117097,0.026907534,-1.85206845,0.226210013,0.502949888,0.502949888,2
245,-4.610668374,7.032674785,-1.009518525,-0.204357539,2.651919076,-2.107839841,9.112689779,0,0,0,-3,0,0,0,0.507920892,1.06E-05,-0.258064447,-1.201937188,0.003252964,0.511588239,0.008638351,2
246,-17.57956331,9.104780786,0.412540778,-1.232806805,3.017412929,-11.45168101,10.61674686,0,0,0,-3,0,0,0,0.503382769,1.69E-06,2.666666667,5.111111111,0.001298644,0.507278702,0.004328814,2
247,-12.52928863,118.4081309,0.366144867,-1.745974423,10.88155002,2.483420579,24.90369509,0,0,0,-3,0,0,0,0.505197016,1.21E-05,1.079800269,-0.596171491,0.003481849,0.511588239,0.008638351,2
248,16.90356061,234.9561433,-0.66675534,-1.436775752,15.3282792,29.94015127,37.3430961,0,0,0,-3,0,0,0,0.35324138,0.016881428,-0.985924747,-0.113470729,0.129928548,0.502949888,0.492875136,2
249,16.11615283,93.30966331,-0.068896926,-1.241109901,9.659692713,29.91631855,28.15013381,0,0,0,-3,0,0,0,0.363663845,0.019905782,-1.299442617,0.272250709,0.141087853,0.458544709,0.448469957,2
250,2.466732487,5.208531989,2.738899431,6.661544609,2.282220846,11.79867817,11.14027529,0,0,0,-3,0,0,0,0.35932515,0.001252649,-0.869908904,-0.598311316,0.035392784,0.392749183,0.107915956,2
251,-0.058489774,1.080271109,0.086354809,-1.436902875,1.039360914,1.707708413,3.178447564,0,0,0,-3,0,0,0,0.374192686,4.20E-06,1.351852739,-0.172494172,0.002050032,0.37805277,0.004948825,2
252,-5.015589761,24.4162255,-0.278334976,-1.009872733,4.941277719,1.403037397,16.35037859,0,0,0,-3,0,0,0,0.382739109,8.52E-05,1.554068454,0.524382053,0.009230657,0.402442758,0.024389988,2
253,-15.94375052,0.035202825,2.487957476,6.783017458,0.187624159,-15.08634577,0.96544898,0,0,0,-3,0,0,0,0.399784958,1.00E-05,-0.788841287,-0.447573197,0.003163551,0.402442758,0.009693575,2
254,-6.230529559,30.07609262,-0.820660797,-1.168103439,5.48416745,-1.892375448,13.91219628,0,0,0,-3,0,0,0,0.405253264,0.001202788,2.130381617,3.036817817,0.034681229,0.507278702,0.119403567,2
255,-3.641477072,1.062562398,-0.311291339,-1.006297093,1.030806674,-1.803117889,3.648874689,0,0,0,-3,0,0,0,0.501596285,1.49E-05,0.646715945,-1.428844055,0.003866058,0.507278702,0.008677079,2
256,-1.717562564,0.590064852,-0.452057385,-0.866758295,0.768156788,-0.71378472,2.662767645,0,0,0,-3,0,0,0,0.498077476,2.01E-06,-2.338738329,3.46969697,0.001419397,0.498601623,0.004367891,2
257,-5.890802524,10.96672424,-0.415961305,-1.434088802,3.311604481,-2.0709015,8.82188354,0,0,0,-3,0,0,0,0.494233732,1.23E-32,0,-3,1.11E-16,0.494233732,0,2
258,-6.981181413,1.242586847,1.738691198,2.167757053,1.114713796,-3.225603545,4.431325309,0,0,0,-3,0,0,0,0.494233732,1.23E-32,0,-3,1.11E-16,0.494233732,0,2
259,-3.148705231,2.576925108,-1.753719862,1.807125189,1.605280383,-2.077057843,5.539597559,0,0,0,-3,0,0,0,0.494233732,1.23E-32,0,-3,1.11E-16,0.494233732,0,2
260,1.826598548,3.917137191,-0.575528001,-0.930076342,1.979175887,4.618798458,6.702012663,0,0,0,-3,0,0,0,0.494233732,1.23E-32,0,-3,1.11E-16,0.494233732,0,2
261,-1.241732126,3.537383354,-0.132335562,-1.458772131,1.880793278,1.615380187,5.454138017,0.013911775,0.002012939,3.372128936,10.59471349,0.044865784,0.223117679,0.223117679,0.371447915,0.032431511,-1.111292233,-0.355184795,0.180087509,0.494233732,0.494233732,2
262,-1.752812074,1.444105594,1.468913025,0.901845657,1.201709446,1.36303254,4.28371033,0.0864531,0.008630862,0.461397685,-1.327850705,0.092902435,0.246017664,0.246017664,0.333816365,0.154734476,0.548670071,-1.422745998,0.393363033,1,1,2
263,-0.122202976,1.506041388,-0.967022292,-0.95346931,1.227208779,0.852241675,3.012412008,0.707393244,0.19645091,-0.923578299,-1.102947455,0.443227831,1,1,0.227873496,0.155860048,1.254502372,-0.303323904,0.394791145,1,1,2
264,0.21991555,0.001473502,1.07445738,-0.475771609,0.038386226,0.307660763,0.116911531,0.916528905,0.002579844,0.694095585,-1.194145996,0.050792161,1,0.130089205,0,0,0,-3,0,0,0,2
265,1.336114948,0.289506252,-1.101975774,-0.399972582,0.538057852,1.7200191,1.529269868,0.867350037,8.37E-05,-0.696164812,-0.819474722,0.009150239,0.878642175,0.026434094,0,0,0,-3,0,0,0,2
266,4.340479975,10.88231872,0.451049771,-1.796552695,3.298835964,8.466138334,6.764585242,0.450367044,0.151424215,-0.191352518,-1.868107578,0.389132644,0.852208081,0.852208081,0.161711442,0.047128413,0.705477319,-1.375803621,0.217090795,0.553659859,0.553659859,2
267,1.854484309,26.47865521,0.342641968,-1.757146435,5.145741463,8.466138334,11.83344842,0,0,0,-3,0,0,0,0.446154105,0.001486937,1.694094957,2.342827779,0.038560827,0.561859066,0.149837201,2
